model_type,n_seeds,attribution_pearson_mean,attribution_pearson_sd,causal_mass_mean,causal_mass_sd,shortcut_mass_mean,shortcut_mass_sd,h1b_h3a_fraction_mean,h1b_h3a_fraction_sd,matrix_max_abs_error
CNN-Aug,3,0.9456749239465911,0.005387966225241303,0.6908025492314046,0.019215292385122602,,,0.03,0.01,1.8228018283843994
CNN-Pair,3,0.9494420390401285,0.0012978031206810489,0.6671151917509223,0.025673697324245567,,,0.03,0.017320508075688777,1.665571689605713
CNN-PostHoc,3,0.9999999999999994,0.0,0.7017536011042519,0.02323813761329969,,,0.0,0.0,0.0
CNN-RCPS,3,0.9999999999988406,2.572521988544887e-13,0.6964366396520245,0.040974490557296725,,,0.0,0.0,2.86102294921875e-06
CNN-Raw,3,0.9300558765663188,0.004753354504162333,0.6668539881164169,0.01816058291901719,,,0.03333333333333333,0.011547005383792516,2.361428737640381
