model_type,n_seeds,validation_auroc_mean,validation_auroc_sd,test_auroc_mean,test_auroc_sd,test_auprc_mean,test_auprc_sd,test_accuracy_mean,test_accuracy_sd,test_f1_mean,test_f1_sd,prediction_mean_absolute_difference_mean,prediction_mean_absolute_difference_sd,prediction_p95_absolute_difference_mean,prediction_p95_absolute_difference_sd,symmetry_flip_rate_mean,symmetry_flip_rate_sd
CNN-Aug,3,0.9430146666666666,0.0043766148257909036,0.9492351851851852,0.00130701553512324,0.9611043267945486,0.000909947096849721,0.8947222222222222,0.0026787918780535568,0.890628320205058,0.0019245359604937397,0.03788022695419689,0.0035562612823280266,0.13256784329811727,0.008277923115422877,0.024444444444444446,0.0009622504486493764
CNN-Pair,3,0.9483586666666667,0.005116108416886194,0.952387037037037,0.0006527797478299488,0.9635450748153501,0.00087876565119983,0.8994444444444444,0.002545875386086588,0.8958447865758842,0.003206687050698825,0.04108320079226461,0.004402936121818901,0.14481212968627608,0.012990789510403953,0.025833333333333333,0.0046398036356916856
CNN-PostHoc,3,0.9455306666666665,0.00255686161794754,0.9501194444444444,0.001745114432556178,0.9616916619986489,0.0013436825140041657,0.8958333333333334,0.0028867513459481316,0.8922778684048612,0.0024224862958605146,0.0,0.0,0.0,0.0,0.0,0.0
CNN-RCPS,3,0.9430800000000001,0.003678897660984861,0.9483268518518516,0.001152306909634575,0.9604788326885242,0.00042200100275339276,0.8927777777777778,0.003938179688543869,0.8878221203257999,0.00521831466756008,2.998030847973293e-08,3.6334597135785853e-09,1.1920928955078125e-07,0.0,0.0,0.0
CNN-Raw,3,0.9411413333333333,0.004056761927120334,0.947212962962963,0.0011722957235162587,0.9596175349246874,0.00043137391067993097,0.8855555555555554,0.0017347216662217551,0.8802911524381526,0.0024730808536599157,0.04883626713417471,0.0036631285739052934,0.1651958341399828,0.005393484735413123,0.03666666666666666,0.0014433756729740617
