model_type,n,motif_mass_fraction_mean,top7_recall_mean,circular_enrichment_mean
CNN-Aug,324,0.1966570168350462,0.46296296296296297,8.670565301465441
CNN-RCPS,324,0.202390699637307,0.45238095238095233,9.06624081202837
CNN-Raw,324,0.1891252885342239,0.45634920634920634,8.408199351420052
