model_type,runs,auroc_mean,auprc_mean,prediction_difference_mean,flip_rate_mean
CNN-Aug,9,0.887539418637403,0.8818665007474529,0.08566609440416323,0.09267458870609199
CNN-RCPS,9,0.8904112809364347,0.8848397212710967,0.0,0.0
CNN-Raw,9,0.8792591920380366,0.8753331364751007,0.1005916840728243,0.11134691191881964
