threshold,model_type,n,motif_mass_fraction_mean,top7_motif_recall_mean,circular_enrichment_mean,disruption_specificity_mean
0.8,CNN-Raw,324,0.1891252885342239,0.45634920634920634,8.408199351420052,1.2791541494130168
0.8,CNN-Aug,324,0.1966570168350462,0.46296296296296297,8.670565301465441,1.3061838582916945
0.8,CNN-RCPS,324,0.202390699637307,0.45238095238095233,9.06624081202837,1.3071806249151259
0.85,CNN-Raw,306,0.19558128981389566,0.4738562091503268,8.699036400315162,1.3181967135713575
0.85,CNN-Aug,306,0.2037053225192954,0.4827264239028945,8.983635991911036,1.3455780230072978
0.85,CNN-RCPS,306,0.20947989924058433,0.4687208216619982,9.387035204375957,1.344714855300445
0.9,CNN-Raw,138,0.21740802048060084,0.5134575569358178,9.640643430856073,1.5231727197010447
0.9,CNN-Aug,138,0.2261431561696772,0.5248447204968943,9.99331744594958,1.5043224266905715
0.9,CNN-RCPS,138,0.232115679220357,0.5134575569358178,10.311740895963613,1.4633638195801473
