model_type,n,motif_logit_drop_mean,flank_logit_drop_mean,specificity_mean
CNN-Aug,324,1.3580919313302011,0.051908073038506655,1.3061838582916945
CNN-RCPS,324,1.346683948358268,0.03950332344314198,1.3071806249151259
CNN-Raw,324,1.3288050262648383,0.04965087685182139,1.2791541494130168
