model_type,n_seeds,attribution_pearson_mean,attribution_pearson_sd,causal_mass_mean,causal_mass_sd,shortcut_mass_mean,shortcut_mass_sd,h1b_h3a_fraction_mean,h1b_h3a_fraction_sd,matrix_max_abs_error
CNN-Aug,3,0.9136361459863588,0.03880812609243671,0.5603792326891193,0.06886852986977941,,,0.013333333333333334,0.005773502691896257,1.979074239730835
CNN-Pair,3,0.923271384921381,0.02723910098808663,0.5623974117066685,0.027890250344698216,,,0.02,0.02,2.55706787109375
CNN-PostHoc,3,0.999999999999999,7.850462293418876e-17,0.5799951861641098,0.06326734165586323,,,0.0,0.0,0.0
CNN-RCPS,3,0.9999999999998076,1.201972691349195e-13,0.6078880533472374,0.09379947782005035,,,0.0,0.0,2.1457672119140625e-06
CNN-Raw,3,0.5515246995593485,0.027534239770390878,0.4817424994301258,0.0074186020171155866,,,0.07333333333333333,0.030550504633038936,3.6048946380615234
