model_type,n_seeds,validation_auroc_mean,validation_auroc_sd,test_auroc_mean,test_auroc_sd,test_auprc_mean,test_auprc_sd,test_accuracy_mean,test_accuracy_sd,test_f1_mean,test_f1_sd,prediction_mean_absolute_difference_mean,prediction_mean_absolute_difference_sd,prediction_p95_absolute_difference_mean,prediction_p95_absolute_difference_sd,symmetry_flip_rate_mean,symmetry_flip_rate_sd
CNN-Aug,3,0.959224,0.010826900572185938,0.9719712962962963,0.006265308617952455,0.9702194898480827,0.008120831232182553,0.9161111111111112,0.012056963563450415,0.9175138267847132,0.010590779218376988,0.07900750159337702,0.01978093055715127,0.2494503770023584,0.050390278365041986,0.07111111111111111,0.01637946998645063
CNN-Pair,3,0.9732439999999999,0.002983249235313775,0.983686111111111,0.0030324568839616263,0.9839101033826535,0.0035019665691184976,0.9322222222222223,0.013877773329774244,0.9309242696700107,0.015524187013196605,0.06362842899545083,0.010630816429632846,0.24579090550541868,0.03754992440922305,0.04666666666666667,0.01452966314513558
CNN-PostHoc,3,0.9608666666666666,0.007388667358416823,0.9742555555555555,0.005593085043930771,0.9721717818108271,0.008242790310435193,0.9172222222222222,0.01197025634800845,0.9184970609220574,0.01017209027406624,0.0,0.0,0.0,0.0,0.0,0.0
CNN-RCPS,3,0.955696,0.015107027768558656,0.9714481481481482,0.009833095702297148,0.9712329935354629,0.0097317075618712,0.9175,0.017017148213885107,0.9166001453160625,0.019631213126605117,2.8548270670904055e-08,2.249812306702877e-09,1.1920928955078125e-07,0.0,0.0,0.0
CNN-Raw,3,0.9621719999999999,0.0005076691836225603,0.9718203703703704,0.00360684398881775,0.9672491486498079,0.004795025870522824,0.9141666666666666,0.012275766552213534,0.912557061392271,0.012208883209009192,0.26381606980922195,0.010156975613999551,0.7670043225632979,0.018625554222560924,0.2891666666666667,0.01587713240271469
