model_type,n_seeds,attribution_pearson_mean,attribution_pearson_sd,causal_mass_mean,causal_mass_sd,shortcut_mass_mean,shortcut_mass_sd,h1b_h3a_fraction_mean,h1b_h3a_fraction_sd,matrix_max_abs_error
CNN-Aug,3,0.9326498888243017,0.012236817946900671,0.03312363465456741,0.0024955058476364704,0.3162289771574723,0.017699202732928236,0.06666666666666667,0.020816659994661323,1.096616506576538
CNN-Pair,3,0.9111269235757792,0.014861980404195422,0.0354797545739865,0.003207917894435982,0.29598321519998544,0.007470886028658265,0.07666666666666666,0.03785938897200182,1.1138091087341309
CNN-PostHoc,3,0.9999999999999996,0.0,0.032953818018080366,0.002039777094848856,0.31801438754417294,0.018315665973333412,0.0,0.0,0.0
CNN-RCPS,3,0.9999999999989643,3.859002521974881e-13,0.03570279695388717,0.006570458968245007,0.3043310102192675,0.05109477127495666,0.0,0.0,3.814697265625e-06
CNN-Raw,3,0.2380817100260106,0.2641568226322682,0.040791092734436867,0.0011450911710734486,0.5493786444022547,0.08179032442837139,0.10333333333333333,0.015275252316519465,3.617476463317871
