model_type,n_seeds,validation_auroc_mean,validation_auroc_sd,test_auroc_mean,test_auroc_sd,test_auprc_mean,test_auprc_sd,test_accuracy_mean,test_accuracy_sd,test_f1_mean,test_f1_sd,prediction_mean_absolute_difference_mean,prediction_mean_absolute_difference_sd,prediction_p95_absolute_difference_mean,prediction_p95_absolute_difference_sd,symmetry_flip_rate_mean,symmetry_flip_rate_sd
CNN-Aug,3,0.9932479166666667,0.00019508945597687842,0.4849053333333333,0.004231928795872286,0.49843376325733885,0.0015710081199768677,0.4836666666666667,0.0025166114784235852,0.48583183728171303,0.007276767054956396,0.04529771736691085,0.004387907287380766,0.13803124725818636,0.009202140950566106,0.056666666666666664,0.004509249752822895
CNN-Pair,3,0.9946270833333334,0.0005019622952307462,0.48585866666666666,0.0046011917296862525,0.4965123719822759,0.0033011984994783384,0.49033333333333334,0.0041633319989322695,0.5024893825512993,0.013152034003189286,0.050300114536347494,0.004999630093520823,0.15713183929522828,0.01283945797663573,0.065,0.009848857801796103
CNN-PostHoc,3,0.9938729166666667,0.00011045596784840052,0.48488800000000004,0.003818227861194238,0.4986178308535442,0.002626469135761229,0.48566666666666664,0.004041451884327384,0.490173445948663,0.010102970390829977,0.0,0.0,0.0,0.0,0.0,0.0
CNN-RCPS,3,0.9932729166666666,0.0014760633525813143,0.485612,0.004936155589119957,0.4984935813296693,0.0024495710640024485,0.48966666666666664,0.006806859285554052,0.4919208652365481,0.015515552851582395,7.603752116362255e-08,1.28280513446149e-08,2.284844716389974e-07,4.5523799409030275e-08,0.0,0.0
CNN-Raw,3,0.9892854166666667,0.003979264287633313,0.4924186666666667,0.004536720107449121,0.49503406212658985,0.004361316410565253,0.49766666666666665,0.0045092497528228985,0.5127654605585313,0.005123723332496356,0.3796917119761929,0.06296404702985534,0.8107004035885135,0.09496564839470205,0.49933333333333335,0.053116224765445585
