fold_id,model_type,seed,architecture,best_epoch,parameter_count,training_seconds,holdout_loss,holdout_accuracy,holdout_f1,holdout_threshold,holdout_auroc,holdout_auprc,prediction_mean_absolute_difference,prediction_median_absolute_difference,prediction_std_absolute_difference,prediction_p95_absolute_difference,prediction_pearson,prediction_spearman,symmetry_flip_rate,checkpoint_reload_max_abs_probability_error,rcps_prediction_max_abs_probability_error,rcps_feature_equivariance_max_abs_error,double_rc_input_exact,reload_gate_passed,rcps_prediction_gate_passed,rcps_feature_gate_passed,original_validation_rows_evaluated,test_rows_evaluated
fold_a,CNN-Aug,42,standard,25,7377,63.003063999989536,0.46548195184873115,0.7873973580863978,0.7895387877716911,0.5,0.8624455921222607,0.8628419031527801,0.09611973337950806,0.06669008731842041,0.0931044182866066,0.2892916947603225,0.9147301711018165,0.915117310971331,0.1085326669046769,0.0,,,True,True,True,True,0,0
fold_a,CNN-RCPS,42,rcps,25,3689,84.87942800001474,0.4554315782878621,0.7929310960371296,0.7895500725689405,0.5,0.8682361618950543,0.8673904593931542,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,True,True,0,0
fold_a,CNN-Raw,42,standard,14,7377,38.881436499999836,0.4843349953882612,0.7806140664048554,0.7769105100744237,0.5,0.8508045463948524,0.8501874433492957,0.09328705329805086,0.06371376663446426,0.09172322190302798,0.28827033936977386,0.9191608070714193,0.9215108801687614,0.1017493752231346,0.0,,,True,True,True,True,0,0
fold_a,CNN-Aug,123,standard,25,7377,65.95248200005153,0.4668311991039577,0.7847197429489468,0.784257602862254,0.5,0.8614590520216361,0.8604486183706261,0.08798399023299053,0.05874407850205898,0.08741751554628308,0.2700718566775321,0.9274187779919292,0.9290248920007328,0.10103534451981436,0.0,,,True,True,True,True,0,0
fold_a,CNN-RCPS,123,rcps,29,3689,89.50558920000913,0.46572595628318253,0.7897179578721885,0.7925325818950335,0.5,0.8642973304403321,0.8631293167317524,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,True,True,0,0
fold_a,CNN-Raw,123,standard,17,7377,47.56753220001701,0.49363333359227696,0.7725812209925027,0.7711103126122889,0.5,0.8454711117733363,0.8459629805598199,0.10228686131585506,0.06997457146644592,0.10078617310495046,0.31678340286016465,0.9012091338872745,0.9041799027497726,0.11817208139950018,0.0,,,True,True,True,True,0,0
fold_a,CNN-Aug,2026,standard,26,7377,85.16426290001255,0.45641523359163194,0.7915030346304891,0.7887884267631103,0.5,0.8679253507793729,0.8667153405681015,0.08645094397427266,0.05755910277366638,0.08713756224111956,0.2691609412431717,0.9312366711245712,0.9319132092787014,0.09157443770082113,0.0,,,True,True,True,True,0,0
fold_a,CNN-RCPS,2026,rcps,27,3689,90.85037409997312,0.4557992124165947,0.7932881113887897,0.7889172438935472,0.5,0.8688095405310569,0.8673618268864653,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,True,True,0,0
fold_a,CNN-Raw,2026,standard,12,7377,36.74812869995367,0.47942484467849267,0.7781149589432346,0.7722191680410482,0.5,0.8520590073341737,0.8523721103881924,0.08520156081289755,0.060514286160469055,0.08223574454694785,0.25329965800046916,0.9311015737888481,0.9280186406854749,0.0885398072117101,0.0,,,True,True,True,True,0,0
fold_b,CNN-Aug,42,standard,30,7377,67.33846519998042,0.43373128163774677,0.8075065031586771,0.8041587901701324,0.5,0.8825417065928918,0.8759726841802968,0.09230848431260771,0.0632404088973999,0.08989007761577918,0.27485970258712766,0.922155617566319,0.9246056469484628,0.10906726124117429,0.0,,,True,True,True,True,0,0
fold_b,CNN-RCPS,42,rcps,29,3689,91.9370343000046,0.44545389696905846,0.7976588628762542,0.7947219604147031,0.5,0.8754242398757935,0.8661167053266192,0.0,0.0,0.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,True,True,True,True,0,0
fold_b,CNN-Raw,42,standard,22,7377,59.941287800029386,0.4501272632658415,0.8013749535488666,0.7995499718732421,0.5,0.8727000733689697,0.8649977040015633,0.11613149196768231,0.07874459400773048,0.11460100804328537,0.35005595684051505,0.8801314203865879,0.8840482276621027,0.13396506874767744,0.0,,,True,True,True,True,0,0
fold_b,CNN-Aug,123,standard,17,7377,49.83862670004601,0.452117953722205,0.7974730583426236,0.7983721790603033,0.5,0.8712833742158546,0.8619540147617419,0.08886434429512743,0.06527804210782051,0.08175426661798633,0.25146636515855786,0.9270253061424037,0.926404338438402,0.09327387588257154,0.0,,,True,True,True,True,0,0
fold_b,CNN-RCPS,123,rcps,30,3689,92.35183190001408,0.4376723043363097,0.8067632850241546,0.8041431261770244,0.5,0.8804223887351219,0.8717260667694278,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,True,True,0,0
