fold_id,seed,model_type,method,n,mean_absolute_normalized_l1,median_absolute_normalized_l1,mean_absolute_normalized_l2,mean_absolute_pearson,mean_absolute_top8_overlap
fold_a,42,CNN-Aug,deeplift,80,0.5073382388352092,0.49636502417535455,0.4437844486973381,0.5021083737389478,0.371875
fold_a,42,CNN-Aug,exact_ism,80,0.3519401831695386,0.3505830234465241,0.3146462581637997,0.7210883826650573,0.6
fold_a,42,CNN-Aug,gradient_shap,80,0.47586801364057507,0.47730826222953604,0.4406440449796345,0.48518029004239677,0.3703125
fold_a,42,CNN-Aug,integrated_gradients,80,0.4795544612034323,0.4666047587996768,0.4145555806246337,0.5558742535016375,0.446875
fold_a,42,CNN-RCPS,deeplift,80,0.0005332500772178112,0.0,0.0013400515763460487,0.9998893516047975,1.0
fold_a,42,CNN-RCPS,exact_ism,80,5.579940415522959e-09,4.1473053972522404e-09,1.893882592447234e-08,0.9999999999999986,1.0
fold_a,42,CNN-RCPS,gradient_shap,80,0.11658960256902043,0.1041457130078472,0.13842496239171131,0.9673471947492039,0.8375
fold_a,42,CNN-RCPS,integrated_gradients,80,0.0002518284392114962,0.0,0.0004912073324231638,0.9999492882562586,1.0
fold_a,42,CNN-Raw,deeplift,80,0.4803066629559396,0.4926189628735305,0.4050427255491975,0.5723831266991538,0.4734375
fold_a,42,CNN-Raw,exact_ism,80,0.3383917975200915,0.34023872231830404,0.29371544445125497,0.7535402837828246,0.63125
fold_a,42,CNN-Raw,gradient_shap,80,0.44115313471936346,0.44051668242513287,0.3977464561577456,0.5732625485799938,0.4703125
fold_a,42,CNN-Raw,integrated_gradients,80,0.46242027394287055,0.4701137166944742,0.3879105024990415,0.6032079455415387,0.503125
fold_a,123,CNN-Aug,deeplift,80,0.4477510292572907,0.44486250501639557,0.3594936849027451,0.6496060137307631,0.5828125
fold_a,123,CNN-Aug,exact_ism,80,0.32267978524144186,0.3223011435702139,0.2841745708611674,0.748940124689096,0.6359375
fold_a,123,CNN-Aug,gradient_shap,80,0.40127979392731455,0.3904015014673895,0.3436890480947906,0.6662138500879892,0.5828125
fold_a,123,CNN-Aug,integrated_gradients,80,0.4340042696235094,0.4285415264773129,0.3497276693407715,0.6679688072973621,0.603125
fold_a,123,CNN-RCPS,deeplift,80,0.0003706746161191175,0.0,0.0009062317744805551,0.9998016158314108,1.0
fold_a,123,CNN-RCPS,exact_ism,80,3.0861732071810172e-09,1.6736926533301785e-09,1.5511208420432724e-08,0.9999999999999986,1.0
fold_a,123,CNN-RCPS,gradient_shap,80,0.09463618735425257,0.0917454351336314,0.10174190231208184,0.9828849408959635,0.890625
fold_a,123,CNN-RCPS,integrated_gradients,80,0.00034959563191996125,0.0,0.0008584955036757824,0.9998211588403201,1.0
fold_a,123,CNN-Raw,deeplift,80,0.42345004303182476,0.4197615025568484,0.33710892753607224,0.6850741833527123,0.609375
fold_a,123,CNN-Raw,exact_ism,80,0.3312553042090246,0.3296790011088905,0.2963473812149619,0.7184433513061237,0.5484375
fold_a,123,CNN-Raw,gradient_shap,80,0.38736089834996656,0.38394254335781325,0.33108886661982495,0.6946287513457811,0.6125
fold_a,123,CNN-Raw,integrated_gradients,80,0.41466144903363505,0.4074747773146048,0.3335088944935837,0.6952008092562029,0.596875
fold_a,2026,CNN-Aug,deeplift,80,0.48110652997326186,0.46529013790899154,0.38356908411505153,0.5853811510287461,0.475
fold_a,2026,CNN-Aug,exact_ism,80,0.33374445649245915,0.33112292796686693,0.2774230138323738,0.7698154031221124,0.646875
fold_a,2026,CNN-Aug,gradient_shap,80,0.45621147781936805,0.4554714384686891,0.39208410473969996,0.5818157904337335,0.4859375
fold_a,2026,CNN-Aug,integrated_gradients,80,0.4662393552865736,0.45026867058317654,0.37427027345900843,0.6033776359617674,0.48125
fold_a,2026,CNN-RCPS,deeplift,80,0.0004904953011477,0.0,0.00128497300980554,0.9999243798186033,0.9984375
fold_a,2026,CNN-RCPS,exact_ism,80,4.980173314412051e-09,2.1188666362406085e-09,1.8583137086152743e-08,0.9999999999999979,1.0
fold_a,2026,CNN-RCPS,gradient_shap,80,0.08200432137961468,0.0797679213127586,0.09296979315440679,0.9853386781466282,0.9109375
fold_a,2026,CNN-RCPS,integrated_gradients,80,0.0,0.0,0.0,1.0,1.0
fold_a,2026,CNN-Raw,deeplift,80,0.47720923826917677,0.46807698269425724,0.3641022691301229,0.6327468661814244,0.5109375
fold_a,2026,CNN-Raw,exact_ism,80,0.3344799242237696,0.34438543520494824,0.2570262761540749,0.8214921735504135,0.7078125
