model_type,seed,best_epoch,parameter_count,training_seconds,ism_seconds,validation_loss,validation_accuracy,validation_f1,validation_threshold,validation_auroc,validation_auprc,test_loss,test_accuracy,test_f1,test_threshold,test_auroc,test_auprc,prediction_mean_absolute_difference,prediction_median_absolute_difference,prediction_std_absolute_difference,prediction_p95_absolute_difference,prediction_pearson,prediction_spearman,symmetry_flip_rate
CNN-Raw,42,20,5073,11.138327399996342,4.28531789999397,0.002224198058247566,1.0,1.0,0.5,1.0,1.0,0.002143441304564476,1.0,1.0,0.5,1.0,1.0,0.0012023228887285313,8.360049105249345e-05,0.011121496623873916,0.002027833461761474,0.9997484346240709,0.9337192357366013,0.0
CNN-Aug,42,20,5073,11.277978500002064,4.160144699984812,0.0020780257284641265,1.0,1.0,0.5,1.0,1.0,0.002066582150757313,1.0,1.0,0.5,1.0,1.0,0.0008207987745870468,8.463499762001447e-05,0.004768402049416898,0.0014306366443634017,0.9999529422637315,0.9295309945712964,0.0
CNN-Pair,42,20,5073,21.074873799996567,4.220522499992512,0.0008842985667288304,1.0,1.0,0.5,1.0,1.0,0.001181079961359501,1.0,1.0,0.5,1.0,1.0,0.0007943030038856448,3.701448440551758e-05,0.008341692863124745,0.0007500112056732177,0.9998591315420556,0.9373416125821095,0.0
CNN-Raw,123,20,5073,10.958368500010693,4.188374900011695,0.0033368771076202394,0.999,0.999000999000999,0.5,1.0,1.0,0.0027321860939264297,0.999,0.999000999000999,0.5,1.0,1.0,0.0012692369664266607,8.738040924072266e-05,0.013175493829555214,0.0018152177333831787,0.9996474713247743,0.9292749175166394,0.002
CNN-Aug,123,20,5073,12.33570170000894,4.394253300008131,0.0024786803796887397,1.0,1.0,0.5,1.0,1.0,0.0016083206012845038,1.0,1.0,0.5,1.0,1.0,0.0006806295369497093,7.274491144926287e-05,0.005451647756008946,0.0013165274958737417,0.9999393710664225,0.928734241313485,0.0
CNN-Pair,123,19,5073,20.92148659999657,4.303398099989863,0.001231780432164669,1.0,1.0,0.5,1.0,1.0,0.0007984313927590847,1.0,1.0,0.5,1.0,1.0,0.00033090104034226895,3.0487775802612305e-05,0.002170409257290462,0.0009029150009155272,0.9999903434406257,0.9319499686835674,0.0
CNN-Raw,2026,20,5073,11.0917472000001,4.243869799989625,0.003463174894452095,0.999,0.999000999000999,0.5,1.0,1.0,0.0024486660361289977,1.0,1.0,0.5,1.0,1.0,0.0010911936691582014,0.0001058411489793798,0.009805614688530126,0.002649506926536559,0.9998041986869788,0.9423490637924885,0.0
CNN-Aug,2026,20,5073,11.197338899990427,4.198070999991614,0.002260276705026627,1.0,1.0,0.5,1.0,1.0,0.0021019512861967086,1.0,1.0,0.5,1.0,1.0,0.0008715278194213169,7.039308547973633e-05,0.011454867421223714,0.0016643494367599484,0.9997348386114419,0.9531179199927501,0.0
CNN-Pair,2026,19,5073,21.11333100000047,4.26623790001031,0.0016832765340805053,0.999,0.999000999000999,0.5,1.0,1.0,0.0010061787776648999,1.0,1.0,0.5,1.0,1.0,0.0003562183315250422,3.209710121154785e-05,0.0024654429119436707,0.0006268431199714525,0.999987558668906,0.9527655069395132,0.0
